agents,private_accuracy,shared_accuracy,attenders_before_switch,private_attention_value,social_attention_value,attention_wedge
6,5/6,3/4,5,-3/16,-5/24,1/48
6,5/6,5/6,0,0,0,0
6,5/6,5/6,1,-1865/279936,-5/46656,-1835/279936
6,5/6,5/6,2,-745/46656,-5/7776,-715/46656
6,5/6,5/6,3,-475/15552,-5/1296,-415/15552
6,5/6,5/6,4,-37/648,-5/216,-11/324
6,5/6,5/6,5,-25/216,-5/36,5/216
7,1/3,1/3,0,0,0,0
7,1/3,1/3,1,-179/5103,-64/2187,-89/15309
7,1/3,1/3,2,-4744/76545,-32/729,-1384/76545
7,1/3,1/3,3,-1499/17010,-16/243,-379/17010
7,1/3,1/3,4,-992/8505,-8/81,-152/8505
7,1/3,1/3,5,-85/567,-4/27,-1/567
7,1/3,1/3,6,-4/21,-2/9,2/63
7,1/3,1/2,0,2059/30618,32/2187,179/3402
7,1/3,1/2,1,1433/61236,-16/729,2777/61236
7,1/3,1/2,2,-313/51030,-8/243,1367/51030
7,1/3,1/2,3,-241/7560,-4/81,397/22680
7,1/3,1/2,4,-109/1890,-2/27,31/1890
7,1/3,1/2,5,-65/756,-1/9,19/756
7,1/3,1/2,6,-5/42,-1/6,1/21
7,1/3,2/3,0,2059/15309,64/2187,179/1701
7,1/3,2/3,1,2507/30618,-32/2187,985/10206
7,1/3,2/3,2,761/15309,-16/729,1097/15309
7,1/3,2/3,3,829/34020,-8/243,1949/34020
7,1/3,2/3,4,11/8505,-4/81,431/8505
7,1/3,2/3,5,-25/1134,-2/27,59/1134
7,1/3,2/3,6,-1/21,-1/9,4/63
7,1/3,3/4,0,10295/61236,80/2187,895/6804
7,1/3,3/4,1,13609/122472,-8/729,14953/122472
7,1/3,3/4,2,2641/34020,-4/243,1067/11340
7,1/3,3/4,3,2381/45360,-2/81,389/5040
