network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C394,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0011;2-3@1111;2-3@1111,3,10,5/9,3/5,9/25,13/6,163/216,137/162
C395,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@0111;2-3@1000,3,7,4/9,8/21,19/49,1,1/2,5/6
C396,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@0111;2-3@1001,3,8,4/9,5/12,11/32,7/6,29/54,133/162
C397,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@0111;2-3@1011,3,9,4/9,4/9,1/3,3/2,50/81,194/243
C398,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@0111;2-3@1111,3,10,4/9,7/15,17/50,2,20/27,551/729
C399,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@0001,3,7,4/9,8/21,19/49,1,16/27,49/81
C400,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@0011,3,8,4/9,5/12,11/32,7/6,50/81,155/243
C401,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@0100,3,7,4/9,8/21,19/49,1,5/9,25/36
C402,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@0101,3,8,4/9,5/12,11/32,7/6,61/108,77/108
C403,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@0111,3,9,4/9,4/9,1/3,3/2,50/81,349/486
C404,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@1100,3,8,4/9,5/12,11/32,7/6,19/36,41/54
C405,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@1101,3,9,4/9,4/9,1/3,3/2,61/108,41/54
C406,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1011;2-3@1111,3,10,4/9,7/15,17/50,2,209/324,181/243
C407,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@0001,3,8,4/9,3/8,13/32,3/2,35/54,191/324
C408,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@0011,3,9,4/9,11/27,29/81,5/3,109/162,11/18
C409,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@0111,3,10,4/9,13/30,17/50,2,20/27,446/729
C410,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@1000,3,8,4/9,3/8,13/32,3/2,7/12,49/72
C411,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@1001,3,9,4/9,11/27,29/81,5/3,16/27,457/648
C412,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@1011,3,10,4/9,13/30,17/50,2,209/324,685/972
C413,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;1-3@1111;2-3@1111,3,11,4/9,5/11,41/121,5/2,20/27,997/1458
C414,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1000,3,5,5/9,7/15,11/25,1/2,41/72,23/27
C415,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1001,3,6,5/9,1/2,7/18,2/3,7/12,65/81
C416,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1010,3,6,5/9,1/2,7/18,2/3,79/144,23/27
C417,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1011,3,7,5/9,11/21,19/49,1,43/72,65/81
C418,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1110,3,7,5/9,11/21,19/49,1,7/12,61/72
C419,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0001;2-3@1111,3,8,5/9,13/24,13/32,3/2,2/3,515/648
C420,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1000,3,6,5/9,1/2,7/18,2/3,19/36,8/9
C421,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1001,3,7,5/9,11/21,17/49,5/6,5/9,70/81
C422,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1011,3,8,5/9,13/24,11/32,7/6,17/27,199/243
C423,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1100,3,7,5/9,11/21,17/49,5/6,13/24,191/216
C424,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1101,3,8,5/9,13/24,11/32,7/6,29/48,185/216
C425,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0011;2-3@1111,3,9,5/9,5/9,29/81,5/3,77/108,29/36
C426,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0111;2-3@1000,3,7,5/9,11/21,19/49,1,13/24,65/72
C427,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0111;2-3@1001,3,8,5/9,13/24,11/32,7/6,7/12,575/648
C428,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0111;2-3@1011,3,9,5/9,5/9,1/3,3/2,145/216,835/972
C429,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@0111;2-3@1111,3,10,5/9,17/30,17/50,2,29/36,1175/1458
C430,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1000;2-3@1000,3,5,5/9,7/15,11/25,1/2,2/3,7/9
C431,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1000;2-3@1001,3,6,5/9,1/2,7/18,2/3,85/144,22/27
C432,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1000;2-3@1011,3,7,5/9,11/21,19/49,1,41/72,5/6
C433,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1000;2-3@1111,3,8,5/9,13/24,13/32,3/2,29/48,5/6
C434,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1001;2-3@1001,3,7,5/9,11/21,17/49,5/6,7/12,65/81
C435,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1001;2-3@1010,3,7,5/9,11/21,17/49,5/6,79/144,23/27
C436,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1001;2-3@1011,3,8,5/9,13/24,11/32,7/6,83/144,5/6
C437,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1001;2-3@1110,3,8,5/9,13/24,11/32,7/6,9/16,187/216
C438,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1001;2-3@1111,3,9,5/9,5/9,29/81,5/3,5/8,545/648
C439,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1011;2-3@1011,3,9,5/9,5/9,1/3,3/2,17/27,199/243
C440,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1011;2-3@1101,3,9,5/9,5/9,1/3,3/2,29/48,185/216
C441,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1011;2-3@1111,3,10,5/9,17/30,17/50,2,299/432,809/972
C442,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@0111;2-3@1111;2-3@1111,3,11,5/9,19/33,41/121,5/2,29/36,1175/1458
C443,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;1-3@1111;2-3@0001,3,9,4/9,10/27,11/27,2,35/54,191/324
C444,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;1-3@1111;2-3@0011,3,10,4/9,2/5,9/25,13/6,109/162,11/18
C445,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;1-3@1111;2-3@0111,3,11,4/9,14/33,41/121,5/2,20/27,446/729
C446,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;1-3@1111;2-3@1111,3,12,4/9,4/9,1/3,3,23/27,427/729
C447,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@0001,3,6,5/9,4/9,1/2,1,7/9,55/81
C448,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@0010,3,6,5/9,4/9,1/2,1,101/144,19/27
C449,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@0011,3,7,5/9,10/21,3/7,7/6,49/72,20/27
C450,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@0110,3,7,5/9,10/21,3/7,7/6,5/8,7/9
C451,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@0111,3,8,5/9,1/2,13/32,3/2,23/36,125/162
C452,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@1110,3,8,5/9,1/2,13/32,3/2,29/48,13/16
C453,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0001;2-3@1111,3,9,5/9,14/27,11/27,2,47/72,1015/1296
C454,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@0011,3,8,5/9,1/2,3/8,4/3,37/54,173/243
C455,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@0101,3,8,5/9,1/2,3/8,4/3,89/144,65/81
C456,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@0111,3,9,5/9,14/27,29/81,5/3,71/108,62/81
C457,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@1100,3,8,5/9,1/2,3/8,4/3,7/12,359/432
C458,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@1101,3,9,5/9,14/27,29/81,5/3,11/18,1075/1296
C459,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0011;2-3@1111,3,10,5/9,8/15,9/25,13/6,37/54,509/648
C460,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0111;2-3@0111,3,10,5/9,8/15,17/50,2,13/18,535/729
C461,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0111;2-3@1011,3,10,5/9,8/15,17/50,2,287/432,1579/1944
C462,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@0111;2-3@1111,3,11,5/9,6/11,41/121,5/2,55/72,2245/2916
C463,base:near-uninformative:K3,base,near-uninformative,K3N4:1-3@1111;2-3@1111;2-3@1111,3,12,5/9,5/9,1/3,3,8/9,353/486
C464,base:strong:K2,base,strong,K2N4:1-3@0001;5-6@1110,2,4,7/12,17/24,5/8,1/2,2/3,8/9
