agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
2,5/6,1/3,0,1,1,7/18,1/3,5/3,False,False,False
2,5/6,1/3,0,2,0,1/3,1/3,1,False,False,False
2,5/6,1/3,1,0,1,8/9,7/12,5/3,False,False,False
2,5/6,1/3,1,1,0,8/9,7/12,5/3,False,False,False
2,5/6,1/3,2,0,0,35/36,5/6,31/24,True,True,True
2,5/6,1/2,0,0,2,163/288,11/24,31/24,False,False,False
2,5/6,1/2,0,1,1,13/24,23/48,37/24,False,False,False
2,5/6,1/2,0,2,0,1/2,1/2,1,False,False,False
2,5/6,1/2,1,0,1,131/144,31/48,151/96,False,False,False
2,5/6,1/2,1,1,0,11/12,2/3,37/24,False,False,False
2,5/6,1/2,2,0,0,35/36,5/6,31/24,True,True,True
2,5/6,2/3,0,0,2,101/144,7/12,31/24,False,False,False
2,5/6,2/3,0,1,1,25/36,5/8,17/12,False,False,False
2,5/6,2/3,0,2,0,2/3,2/3,1,False,False,False
2,5/6,2/3,1,0,1,67/72,17/24,71/48,False,False,False
2,5/6,2/3,1,1,0,17/18,3/4,17/12,False,False,False
2,5/6,2/3,2,0,0,35/36,5/6,31/24,True,True,True
2,5/6,3/4,0,0,2,443/576,31/48,31/24,False,False,False
2,5/6,3/4,0,1,1,37/48,67/96,65/48,False,False,False
2,5/6,3/4,0,2,0,3/4,3/4,1,False,False,False
2,5/6,3/4,1,0,1,271/288,71/96,275/192,False,False,False
2,5/6,3/4,1,1,0,23/24,19/24,65/48,False,False,False
2,5/6,3/4,2,0,0,35/36,5/6,31/24,True,True,True
2,5/6,5/6,0,0,2,241/288,17/24,31/24,False,False,False
2,5/6,5/6,0,1,1,61/72,37/48,31/24,False,False,False
2,5/6,5/6,0,2,0,5/6,5/6,1,False,False,False
2,5/6,5/6,1,0,1,137/144,37/48,133/96,False,False,False
2,5/6,5/6,1,1,0,35/36,5/6,31/24,True,False,True
2,5/6,5/6,2,0,0,35/36,5/6,31/24,True,False,True
3,1/3,1/3,0,0,3,19/27,1/3,19/9,True,False,True
3,1/3,1/3,0,1,2,19/27,1/3,19/9,True,False,True
3,1/3,1/3,0,2,1,5/9,1/3,5/3,False,False,False
3,1/3,1/3,0,3,0,1/3,1/3,1,False,False,False
3,1/3,1/3,1,0,2,19/27,1/3,19/9,True,False,True
3,1/3,1/3,1,1,1,19/27,1/3,19/9,True,False,True
3,1/3,1/3,1,2,0,5/9,1/3,5/3,False,False,False
3,1/3,1/3,2,0,1,19/27,1/3,19/9,True,False,True
3,1/3,1/3,2,1,0,19/27,1/3,19/9,True,False,True
3,1/3,1/3,3,0,0,19/27,1/3,19/9,True,False,True
3,1/3,1/2,0,0,3,19/27,1/3,19/9,False,False,False
3,1/3,1/2,0,1,2,7/9,7/18,19/9,False,False,True
3,1/3,1/2,0,2,1,2/3,4/9,5/3,True,False,False
3,1/3,1/2,0,3,0,1/2,1/2,1,False,False,False
3,1/3,1/2,1,0,2,19/27,1/3,19/9,False,False,False
3,1/3,1/2,1,1,1,7/9,7/18,19/9,False,False,True
3,1/3,1/2,1,2,0,2/3,4/9,5/3,True,False,False
3,1/3,1/2,2,0,1,19/27,1/3,19/9,False,False,False
3,1/3,1/2,2,1,0,7/9,7/18,19/9,False,False,True
3,1/3,1/2,3,0,0,19/27,1/3,19/9,False,False,False
3,1/3,2/3,0,0,3,19/27,1/3,19/9,False,False,False
3,1/3,2/3,0,1,2,23/27,4/9,19/9,False,False,True
3,1/3,2/3,0,2,1,7/9,5/9,5/3,False,False,False
3,1/3,2/3,0,3,0,2/3,2/3,1,True,True,False
3,1/3,2/3,1,0,2,19/27,1/3,19/9,False,False,False
3,1/3,2/3,1,1,1,23/27,4/9,19/9,False,False,True
3,1/3,2/3,1,2,0,7/9,5/9,5/3,False,False,False
3,1/3,2/3,2,0,1,19/27,1/3,19/9,False,False,False
3,1/3,2/3,2,1,0,23/27,4/9,19/9,False,False,True
3,1/3,2/3,3,0,0,19/27,1/3,19/9,False,False,False
3,1/3,3/4,0,0,3,19/27,1/3,19/9,False,False,False
3,1/3,3/4,0,1,2,8/9,17/36,19/9,False,False,True
3,1/3,3/4,0,2,1,5/6,11/18,5/3,False,False,False
3,1/3,3/4,0,3,0,3/4,3/4,1,True,True,False
3,1/3,3/4,1,0,2,19/27,1/3,19/9,False,False,False
3,1/3,3/4,1,1,1,8/9,17/36,19/9,False,False,True
3,1/3,3/4,1,2,0,5/6,11/18,5/3,False,False,False
3,1/3,3/4,2,0,1,19/27,1/3,19/9,False,False,False
3,1/3,3/4,2,1,0,8/9,17/36,19/9,False,False,True
3,1/3,3/4,3,0,0,19/27,1/3,19/9,False,False,False
3,1/3,5/6,0,0,3,19/27,1/3,19/9,False,False,False
3,1/3,5/6,0,1,2,25/27,1/2,19/9,False,False,True
3,1/3,5/6,0,2,1,8/9,2/3,5/3,False,False,False
3,1/3,5/6,0,3,0,5/6,5/6,1,True,True,False
3,1/3,5/6,1,0,2,19/27,1/3,19/9,False,False,False
3,1/3,5/6,1,1,1,25/27,1/2,19/9,False,False,True
3,1/3,5/6,1,2,0,8/9,2/3,5/3,False,False,False
3,1/3,5/6,2,0,1,19/27,1/3,19/9,False,False,False
3,1/3,5/6,2,1,0,25/27,1/2,19/9,False,False,True
3,1/3,5/6,3,0,0,19/27,1/3,19/9,False,False,False
3,1/2,1/3,0,0,3,65/96,1/3,65/32,False,False,False
3,1/2,1/3,0,1,2,5/8,1/3,25/12,False,False,False
3,1/2,1/3,0,2,1,1/2,1/3,5/3,False,False,False
3,1/2,1/3,0,3,0,1/3,1/3,1,False,False,False
3,1/2,1/3,1,0,2,37/48,7/18,25/12,False,False,False
3,1/2,1/3,1,1,1,3/4,7/18,17/8,False,False,False
3,1/2,1/3,1,2,0,2/3,7/18,5/3,False,False,False
3,1/2,1/3,2,0,1,5/6,4/9,25/12,False,False,False
3,1/2,1/3,2,1,0,5/6,4/9,25/12,False,False,False
3,1/2,1/3,3,0,0,7/8,1/2,65/32,True,True,True
3,1/2,1/2,0,0,3,93/128,3/8,65/32,False,False,False
3,1/2,1/2,0,1,2,23/32,5/12,65/32,False,False,False
3,1/2,1/2,0,2,1,5/8,11/24,13/8,False,False,False
3,1/2,1/2,0,3,0,1/2,1/2,1,False,False,False
3,1/2,1/2,1,0,2,51/64,5/12,265/128,False,False,False
3,1/2,1/2,1,1,1,13/16,11/24,33/16,False,False,False
3,1/2,1/2,1,2,0,3/4,1/2,13/8,False,False,False
3,1/2,1/2,2,0,1,27/32,11/24,265/128,False,False,False
3,1/2,1/2,2,1,0,7/8,1/2,65/32,True,False,True
3,1/2,1/2,3,0,0,7/8,1/2,65/32,True,False,True
